__time,vehicle_id,acceleration,linear_accel_y
2026-02-19 02:06:01.010400+00:00,giga07,0.04286633885251514,0.20067022740840912
2026-02-19 02:06:01.041335+00:00,giga07,0.043424634907940185,-0.18275724351406097
2026-02-19 02:06:01.070829+00:00,giga07,0.036193278729198176,0.09392473846673965
2026-02-19 02:06:01.098509+00:00,giga07,0.032952645586853034,-0.08959051221609116
2026-02-19 02:06:01.128599+00:00,giga07,0.034559562192102725,-0.021428188309073448
2026-02-19 02:06:01.159861+00:00,giga07,0.040314630907054914,0.11497630923986435
2026-02-19 02:06:01.189808+00:00,giga07,0.04337142518781459,0.049034200608730316
2026-02-19 02:06:01.222383+00:00,giga07,0.04283443738208715,-0.07348516583442688
2026-02-19 02:06:01.252456+00:00,giga07,0.03499454219608555,0.10845643281936646
2026-02-19 02:06:01.283379+00:00,giga07,0.03091931502238177,-0.1659131944179535
2026-02-19 02:06:01.312997+00:00,giga07,0.030106007712483247,0.05590476095676422
2026-02-19 02:06:01.342836+00:00,giga07,0.027858006256911066,-0.20317120850086212
2026-02-19 02:06:01.372856+00:00,giga07,0.03221949217624917,0.09725894778966904
2026-02-19 02:06:01.400954+00:00,giga07,0.03297451084600345,0.2101544290781021
2026-02-19 02:06:01.433155+00:00,giga07,0.035874099247082326,-0.1783258467912674
2026-02-19 02:06:01.465037+00:00,giga07,0.03756977208150592,0.10296154022216797
2026-02-19 02:06:01.493630+00:00,giga07,0.03348396182859688,0.005389874801039696
2026-02-19 02:06:01.525884+00:00,giga07,0.03768766739994684,-0.07155587524175644
2026-02-19 02:06:01.555487+00:00,giga07,0.039183303151224806,
2026-02-19 02:06:01.586186+00:00,giga07,0.04165288111964985,
2026-02-19 02:06:01.615785+00:00,giga07,0.04294244000498597,
2026-02-19 02:06:01.646598+00:00,giga07,0.04445255811260703,
2026-02-19 02:06:01.674658+00:00,giga07,0.04076949120654228,
2026-02-19 02:06:01.707124+00:00,giga07,0.0383388321616886,
2026-02-19 02:06:01.736500+00:00,giga07,0.04219677887016266,
2026-02-19 02:06:01.764625+00:00,giga07,0.03501372670760483,
2026-02-19 02:06:01.795269+00:00,giga07,0.03394542670159098,
2026-02-19 02:06:01.825519+00:00,giga07,0.03671436058338464,
2026-02-19 02:06:01.855830+00:00,giga07,0.038926050479031575,
2026-02-19 02:06:01.888930+00:00,giga07,0.040366781779796815,
2026-02-19 02:06:01.920309+00:00,giga07,0.0343478732600732,
2026-02-19 02:06:01.946508+00:00,giga07,0.03913263581549727,
2026-02-19 02:06:01.976734+00:00,giga07,0.028270388050176173,
2026-02-19 02:06:02.007001+00:00,giga07,0.030324237173533233,
2026-02-19 02:06:02.043339+00:00,giga07,0.0416894991865166,
2026-02-19 02:06:02.070694+00:00,giga07,0.041062809419545175,
2026-02-19 02:06:02.100477+00:00,giga07,0.03868076817531812,
2026-02-19 02:06:02.131647+00:00,giga07,0.040287877724710604,
2026-02-19 02:06:02.159320+00:00,giga07,0.032254840764999626,
2026-02-19 02:06:02.191784+00:00,giga07,0.037874941965381596,
2026-02-19 02:06:02.222302+00:00,giga07,0.03433420569057779,
2026-02-19 02:06:02.251857+00:00,giga07,0.03212883326803052,
2026-02-19 02:06:02.282599+00:00,giga07,0.03276988214436442,
2026-02-19 02:06:02.310661+00:00,giga07,0.02772969856294355,
2026-02-19 02:06:02.342409+00:00,giga07,0.03163406240970046,
2026-02-19 02:06:02.373123+00:00,giga07,0.03112210171194571,
2026-02-19 02:06:02.402436+00:00,giga07,0.034318035461692244,
2026-02-19 02:06:02.434961+00:00,giga07,0.0385589889610549,
2026-02-19 02:06:02.462124+00:00,giga07,0.031226672165207043,
2026-02-19 02:06:02.492549+00:00,giga07,0.03400410730886783,
2026-02-19 02:06:02.522757+00:00,giga07,0.02997315775090716,
2026-02-19 02:06:02.552769+00:00,giga07,0.024611289271790234,
2026-02-19 02:06:02.585503+00:00,giga07,0.025310170720389515,
2026-02-19 02:06:02.615709+00:00,giga07,0.02727848126632272,
2026-02-19 02:06:02.643689+00:00,giga07,0.03499072269684758,
2026-02-19 02:06:02.673921+00:00,giga07,0.033768319640477835,
2026-02-19 02:06:02.703804+00:00,giga07,0.03120022146159423,
2026-02-19 02:06:02.737618+00:00,giga07,0.032101455363152016,
2026-02-19 02:06:02.767606+00:00,giga07,0.03807434959316321,
2026-02-19 02:06:02.795883+00:00,giga07,0.03660181247706522,
2026-02-19 02:06:02.825573+00:00,giga07,0.038232680494387536,
2026-02-19 02:06:02.856543+00:00,giga07,0.04860163227828306,
2026-02-19 02:06:02.886982+00:00,giga07,0.04377842774551756,
2026-02-19 02:06:02.917638+00:00,giga07,0.04741540943886331,
2026-02-19 02:06:02.946664+00:00,giga07,0.035254210881538316,
2026-02-19 02:06:02.978815+00:00,giga07,0.036251624174920276,
